business,category,title,value,conditions,valid_at,max_uses,address,photo,note
Conquer Padel,free,FREE! Month of Unlimited Open Play!,FREE!,,,1,,7,
Culver's,free,FREE! Scoop of Frozen Custard! Northern UT Locations,FREE!,,,1,,7,
Curry Pizza,free,FREE! Samosa! Lehi,FREE!,,,1,,7,
Dairy Queen,free,"FREE! Small Ice Cream Cone! Orem, Vineyard, EM & Santaquin",FREE!,,,1,,7,
Daylight Donuts,free,FREE! Regular Donut! Saratoga Springs,FREE!,,,1,,7,
Domino's,free,FREE! 16-Piece Bread Bites! Carryout Only. Saratoga & Eagle Mtn,FREE!,,,1,,7,
El Pollo Loco,free,"FREE! Loco Value Menu Item! Orem, Lehi & Particip. Locations",FREE!,,,1,,7,
Escapes In Time,free,FREE! Admission! M-Th Not Valid December. Email to Book,FREE!,,,1,,7,
Fabulous Freddy's,free,FREE! Best Exterior Car Wash! Lehi,FREE!,,,1,,7,
Fossil Shack,free,FREE! Fossil or Rock of Choice from Curated Chest!,FREE!,,,1,,7,
Franz Bakery Outlet,free,FREE! Loaf of Bread! All Utah Locations,FREE!,,,1,,7,
G.O.A.T Haircuts,free,"FREE! Men's Ears, Eyebrow or Nose Wax! Please Tip! Call for Appt",FREE!,,,1,,7,
Game Grid,free,FREE! Board Game Rental and $5! Gift Card! Lehi,FREE!,,,1,,7,
Game Grid,free,FREE! Magic the Gathering Booster Pack! Lehi,FREE!,,,1,,7,
GetOut Games,free,FREE! Time Trial Escape Room! M-Th,FREE!,,,3,,7,
Improv Broadway,free,One FREE! Admission!,FREE!,,,1,,7,
Jersey Mike's,free,FREE! Chocolate Chip Cookie! All Utah County,FREE!,,,1,,7,
Klucks Krispy Chicken,free,FREE! Order of Fried Chicken! (3 Pcs & 1 Sauce) Saratoga,FREE!,,,1,,7,
Kreative Kiln,free,FREE! Open Studio Session!,FREE!,,,1,,7,
LAN King,free,FREE! Hour of Game Time!,FREE!,,,1,,7,
Laser Assault,free,FREE! Game of Laser Tag!,FREE!,,,1,,7,
Lowes Xtreme Air Sports,free,FREE! Admission! Up to 2 Hrs,FREE!,,,1,,7,
Mandalyn Academy,free,FREE! Brow or Lip Wax!,FREE!,,,2,,7,
Mandalyn Academy,free,FREE! Nose OR Ear Wax!,FREE!,,,2,,7,
Marnell's Country Dance,free,FREE! Admission to Open Dance Night! All Locations,FREE!,,,2,,7,
McDonald's,free,"FREE! 12 oz Frozen Drink! All Orem, N Provo, PG, Cedar Hills & AF",FREE!,,,1,,7,
Mooyah,free,FREE! Small Shake!,FREE!,,,1,,7,
Ninja Playground,free,FREE! Admission to Open Gym!,FREE!,,,1,,7,
Onoh's Malasada Co,free,FREE! Sugar Malasada!,FREE!,,,1,,7,
Padel Den,free,FREE! 1 Hr Padel Court Reservation! Up To 4 People,FREE!,,,1,,7,
Padel Den,free,FREE! Padel Open Play!,FREE!,,,3,,7,
Parlor Doughnuts,free,FREE! Carnival Doughnut!,FREE!,,,1,,7,
Paul Mitchell the School Provo,free,FREE! Haircut!,FREE!,,,1,,7,
Paul Mitchell the School Provo,free,FREE! Straight Razor Face & Neck Shave or Beard Trim!,FREE!,,,1,,7,
Peaks Ice Arena,free,FREE! Admission! Skate Rental Not Included!,FREE!,,,1,,7,
Pizza Hut,free,FREE! Order of Cheese Sticks! Carryout Only! All Wasatch Front Locs,FREE!,,,1,,"7,8",
Provo ATA Martial Arts,free,FREE! Month of Unlimited Lessons! New Students Only,FREE!,,,1,,"7,8",
Provo Bakery,free,FREE! Donut!,FREE!,,,1,,"7,8",
Quench It!,free,FREE! Pretzel Bites! All UT County & Bluffdale,FREE!,,,1,,"7,8",
Quick Wits Comedy,free,FREE! Admission!,FREE!,,,1,,8,
Round Bites,free,FREE! Esfihas Mini Pizza!,FREE!,,,1,,8,
Roxberry Juice Co.,free,FREE! Mystery Mix Deep-freeze Smoothie! SF & partic. locs.,FREE!,,,1,,8,
Salsa Chocolate Latin Dance Night,free,FREE! Thurs Night Admission!,FREE!,,,1,,8,
Shirley's Bakery & Cafe,free,FREE! Single Pastry of Your Choice!,FREE!,,,1,,8,
Sip-N,free,FREE! 20oz Sip-N Fav! All Locations,FREE!,,,1,,8,
Splash Drinks and Treats,free,"FREE! Cone Bag of Cheddar, Jalapeno, or Butter Popcorn! Lehi",FREE!,,,1,,8,
Splash Summit Waterpark,free,"FREE! Day Pass! Valid May & June, M-Th",FREE!,,,1,,8,
Stretch Zone,free,"FREE! Stretch Session! All UT, New Clients Only, Max 2/Person",FREE!,,,1,,8,
Taco Time,free,FREE! Plain or Bavarian Creme Churro! Orem,FREE!,,,1,,8,
Taste117,free,FREE! 8oz. Frozen Hot Chocolate!,FREE!,,,1,,8,
Taste117,free,FREE! Table Side Chocolate Tasting!,FREE!,,,1,,8,
Taylor Andrews Academy,free,FREE! Haircut! T-Th Provo and WJ,FREE!,,,1,,8,
The Forum Academy,free,FREE! Haircut! Style Not Included,FREE!,,,2,,8,
The Great Greek Mediterranean Grill,free,FREE! Feta Fry!,FREE!,,,1,,8,
The Picklr,free,FREE! 3 Hr Open Play Session! Lehi & Bluffdale,FREE!,,,1,,8,
The Rift Augmented Reality,free,FREE! Admit 2 to Any Experience! Mon Only Provo,FREE!,,,1,,8,
The Ruth,free,FREE! Ticket to Any Youth Show! Select Seats Code: SSC,FREE!,,,1,,8,"""Code: SSC"" also printed in blue; value uses the offer only"
The Smoked Taco,free,FREE! Order of Churro Fries! All Locations,FREE!,,,1,,8,
This Is The Place Heritage Park,free,One FREE! Admission!,FREE!,,,1,,8,
Tippin Point,free,FREE! Wednesday Admission!,FREE!,,,1,,8,
Tommy's Express Car Wash,free,FREE! The Works Car Wash!,FREE!,,,2,,8,
Tous les Jours Bakery,free,FREE! Egg Tart or Chocolate Tart! Orem & S. Salt Lake,FREE!,,,1,,8,
Tropical Smoothie Café,free,FREE! 12oz. Jetty Jr. Smoothie! All UT County,FREE!,,,1,,8,
Tsubame Rotating Sushi,free,FREE! Food Plate! Dine-in Only,FREE!,,,2,,8,
UVU Athletics,free,FREE! Admission to Reg Season Home Events! Redeem at Box Office. Some Exclusions Apply,FREE!,,,6,,8,UVU logo in bubble column; 6 bubbles printed after the text; wraps to 2 lines
UVU Scoops,free,FREE! 22 oz. Fountain Drink!,FREE!,,,1,,8,UVU logo in bubble column; bubble printed after the text
Wayfarer Theaters,free,FREE! Movie Ticket!,FREE!,,,1,,8,
Yogurtland,free,FREE! First 5 Ounces of Yogurt!,FREE!,,,1,,8,
Yummy's Korean BBQ,free,FREE! 2 Pcs Mandoo!,FREE!,,,1,,8,
Zeppe's Italian Ice and Frozen Custard,free,FREE! Pretzel or Churro Donut! Provo & PG,FREE!,,,1,,8,
Auntie Anne's,treats,"Buy 1 Classic Pretzel, Get 1 FREE! Orem, Lehi & Draper",FREE!,,,3,,8,
Auntie Anne's,treats,"Buy Any 2 Menu Items, Get a 3rd FREE! Orem, Lehi & Draper",FREE!,,,1,,8,
Avenue Bakery,treats,2-4-1! Savory Crepe and Drink!,2-4-1!,,,3,,8,
Avenue Bakery,treats,50% OFF! 1 Dozen Donuts!,50% OFF!,,,3,,8,
Avenue Bakery,treats,"Buy 1 Artisan Bread, Get 1 FREE!",FREE!,,,3,,8,
Bahama Buck's,treats,"Buy 1 Shaved Ice or Smoothie, Get 1 FREE! Provo",FREE!,,,2,,8,
Baskin Robbins,treats,2-4-1! 2-Scoop Sundae! Orem,2-4-1!,,,1,,8,
Bobby's Burgers by Bobby Flay,treats,"Buy Any Shake, Get 1 FREE!",FREE!,,,1,,8,
Brazuca Pizza,treats,2-4-1! Acai Bowl!,2-4-1!,,,3,,8,
Bubbakoo's Burritos,treats,50% OFF! Boardwalk Cookies (5 Deep Fried Oreos) or Other Dessert!,50% OFF!,,,2,,8,
Burgers Supreme,treats,"Buy Any Shake, Get 1 FREE!",FREE!,,,2,,8,
BYU Store,treats,Get a 1/2 lb of Fudge for Only $4.99!,$4.99!,,,1,,8,
Carl's Jr,treats,2 for $4 Ice Cream Shake! CODE 11685,,,,3,,8,"no blue text on this line, so value left blank; CODE 11685 printed in green"
CHOM,treats,2-4-1! Any Reg Shake!,2-4-1!,,,1,,8,
Cinnabon,treats,"Buy Any Menu Item, Get 1 FREE! Orem",FREE!,,,1,,8,
Cinnabon,treats,"Buy 1 Cinnapacks, Get 1 FREE! Orem",FREE!,,,1,,8,
Cinnaholic,treats,2-4-1! Gourmet Cinnamon Roll!,2-4-1!,,,3,,"8,9",
Cold Stone Creamery,treats,2-4-1! Love it or Gotta Have it! All UT County & SJ (Redwood),2-4-1!,,,1,,"8,9",
Cravings Alisha's Cupcakes,treats,2-4-1! Unicorn Float!,2-4-1!,,,3,,"8,9",
Cravings Alisha's Cupcakes,treats,"Buy Two Cupcakes, Get 1 FREE!",FREE!,,,3,,"8,9",
Craving's Bistro,treats,"Buy A Specialty Drink, Get 1 FREE!",FREE!,,,3,,"8,9","card prints ""Cravings Bistro""; renamed to reference-list name"
Craving's Bistro,treats,"Buy Any Cookie, Get 1 FREE!",FREE!,,,3,,"8,9","card prints ""Cravings Bistro""; renamed to reference-list name"
Crumbl,treats,50% OFF! One Drink! Orem,50% OFF!,,,1,,"8,9",
Crumbl,treats,"Buy One Cookie, Get One FREE! Orem",FREE!,,,1,,"8,9",
Culver's,treats,2-4-1! 2 Scoop Sundae or Medium Concrete Mixer! Northern UT Locs,2-4-1!,,,3,,"8,9",
Dairy Queen,treats,"Buy a Blizzard, Get 1 FREE! Orem, Vineyard, EM & Santaquin",FREE!,,,3,,9,
Daylight Donuts,treats,2-4-1! Reg Dozen Donuts! Saratoga Springs,2-4-1!,,,3,,9,
Dippin' Dots at Fab Freddy's,treats,2-4-1! Regular Dippin' Dots! Lehi,2-4-1!,,,3,,9,
Franz Bakery Outlet,treats,2-4-1! Snack Cake or Loaf of Bread! All UT,2-4-1!,,,3,,9,
Freddy's Frozen Custard & Steakburgers,treats,"2-4-1! Custard, Cone or Dish! All UT Locs",2-4-1!,,,1,,9,
Great Harvest Bread Co.,treats,"2-4-1! Cinnamon Roll, Protein Bar or Cookie! Provo",2-4-1!,,,2,,9,
Great Harvest Bread Co.,treats,2-4-1! Loaf of Bread! Provo,2-4-1!,,,2,,9,
Gurus Cafe,treats,"Buy Pastry or Cake by the Slice, Get One FREE! Provo Cntr & UVU",FREE!,,,2,,9,"card prints ""Guru's Cafe""; renamed to reference-list name"
Habit Burger & Grill,treats,2-4-1! Milkshake! Provo,2-4-1!,,,2,,9,
Holy Taco,treats,"Buy an Order of Rice Pudding, Get One FREE! All Locations",FREE!,,,2,,9,
Jack in the Box,treats,"Buy 1 Shake, Get 1 FREE! All Utah County",FREE!,,,3,,9,
Jamba Juice,treats,"50% OFF! Any Menu Item! Provo (Univ PKWY), UVU Campus, Draper & WJ",50% OFF!,,,3,,9,
Jamba Juice,treats,"Buy Any Smoothie, Get 1 FREE! Same Locations",FREE!,,,3,,9,
McDonald's,treats,"2-4-1! Smoothie, Shake or McCafe Drink! All Orem, N Provo, PG, Cedar Hills & AF",2-4-1!,,,1,,9,
MidiCi The Neapolitan Pizza Company,treats,2-4-1! Italian Soda!,2-4-1!,,,1,,9,
MilkShake Factory,treats,2-4-1! Any Chocolate Molten Cup! All UT Locations,2-4-1!,,,2,,9,
MilkShake Factory,treats,2-4-1! Any Milkshake! All UT Locations,2-4-1!,,,1,,9,
Mooyah,treats,2-4-1! Shake!,2-4-1!,,,3,,9,
Mrs. Cavanaugh's Chocolates,treats,2-4-1! Single Scoop of Ice Cream!,2-4-1!,,,1,,9,
Mrs. Cavanaugh's Chocolates,treats,25% OFF! 1 Pound of Chocolate!,25% OFF!,,,1,,9,
Nautical Bowls,treats,2-4-1! Any Smoothie!,2-4-1!,,,3,,9,
Nothing Bundt Cakes,treats,"Buy 1 Bundtlet, Get 1 FREE! All Utah County",FREE!,,,3,,9,
Onoh's Malasada Co,treats,50% OFF! Half Dozen Malasadas!,50% OFF!,,,1,,9,
Papa Murphy's,treats,2-4-1! Any Dessert or Side! Provo & Park City,2-4-1!,,,1,,9,
Parlor Doughnuts,treats,"Buy 1 Doughnut, Get 1 FREE!",FREE!,,,3,,9,
Provo Bakery,treats,2-4-1! Donut!,2-4-1!,,,3,,9,
Provo Bakery,treats,50% OFF! Any Dozen Donuts!,50% OFF!,,,3,,9,
Quench It!,treats,2-4-1! Drink! Up to $3.50 All Utah County & Bluffdale,2-4-1!,,,3,,9,
Rocky Mountain Chocolate Factory,treats,"2-4-1! Caramel Apples! AF, SS, SJ (Redwood)",2-4-1!,,,1,,9,"after the ""Remember to register your card"" banner; still Treats & Drinks"
Rocky Mountain Chocolate Factory,treats,"Buy 2 Caramel Apples, Get a 3rd FREE! Lehi",FREE!,,,3,,9,
Roll Up Crepes,treats,2-4-1! Entree!,2-4-1!,,,2,,9,
Roll Up Crepes,treats,2-4-1! Nutella Shake!,2-4-1!,,,1,,9,
Roll Up Crepes,treats,50% OFF! Any Menu Item!,50% OFF!,,,1,,9,
Rowley's Red Barn,treats,2-4-1! Small Apple Cider Slush à la Mode!,2-4-1!,,,2,,9,
Rowley's Red Barn,treats,2-4-1! Small Two-Scoop Ice Cream!,2-4-1!,,,2,,9,
Roxberry Juice Co.,treats,2-4-1! Smoothie! Spanish Fork & Participating Locations,2-4-1!,,,3,,9,
Sip-N,treats,2-4-1! Any Cookie! All Locations,2-4-1!,,,3,,"9,10",
Sip-N,treats,2-4-1! Any Drink! All Locations,2-4-1!,,,3,,"9,10",
Sonic,treats,2-4-1! Shake! Valid All Utah Locations,2-4-1!,,,,,"9,10",
Splash Drinks and Treats,treats,2-4-1! Cookie! Lehi,2-4-1!,,,2,,"9,10",
Splash Drinks and Treats,treats,2-4-1! Drink! Lehi Excludes Energy Drink Mixers,2-4-1!,,,2,,"9,10",
Sub Zero Ice Cream,treats,2-4-1! Flavored Soda from the Soda Lab! All UT County,2-4-1!,,,3,,"9,10",
Sub Zero Ice Cream,treats,"Buy Any Ice Cream, Get 1 FREE! All Utah County",FREE!,,,3,,"9,10",
Sub Zero Ice Cream,treats,"Buy Any Italian Ice, Get 1 FREE! All Utah County",FREE!,,,3,,"9,10",
Taste117,treats,"Buy Any 2 Drinks, Get 2 Table Side Chocolate Tastings FREE!",FREE!,,,1,,"9,10",
Tous les Jours Bakery,treats,2-4-1! Any Drink! Orem & South Salt Lake,2-4-1!,,,1,,"9,10",
Tous les Jours Bakery,treats,2-4-1! Any Pastry or Slice of Cake! Orem & S. Salt Lake,2-4-1!,,,1,,"9,10",
Tropical Smoothie Café,treats,2-4-1! Any Single Menu Item! All UT County,2-4-1!,,,2,,"9,10",
Twisted Sugar,treats,2-4-1! Any Cookie or Drink! PG & Saratoga Only,2-4-1!,,,3,,"9,10",
Twisted Sugar,treats,2-4-1! Any Smoothie or Soda! PG & Saratoga Only,2-4-1!,,,3,,"9,10",
Twisted Sugar,treats,50% OFF! a Dozen Cookies! PG & Saratoga Only,50% OFF!,,,1,,"9,10",
UVU Scoops,treats,2-4-1! Single Scoop of Ice Cream!,2-4-1!,,,1,,"9,10",
Waffle Love,treats,"Buy Any Menu Item, Get 1 FREE! All Locations",FREE!,,,1,,"9,10",
Waffle Love,treats,"Buy Any Menu Item, Get 1 50% OFF! All Locations",50% OFF!,,,3,,"9,10",
Wayback Burgers,treats,2-4-1! Any Regular Milkshake! PG,2-4-1!,,,3,,"9,10",
Yogurtland,treats,50% OFF! One Yogurt!,50% OFF!,,,3,,"9,10",
Yogurtland,treats,"Buy One Yogurt, Get One FREE!",FREE!,,,3,,"9,10",
Zeppe's Italian Ice and Frozen Custard,treats,2-4-1! Gelata or Italian Ice! Provo & PG,2-4-1!,,,3,,"9,10","""Gelata"" is as printed"
5 Star BBQ,sandwiches,"Buy 1 Sandwich, Get 1 FREE!",FREE!,,,1,,10,
Arby's,sandwiches,2-4-1! Beef N' Cheddar Sandwich! Valid Particip. Locations,2-4-1!,,,,,10,
Arby's,sandwiches,2-4-1! Classic Roast Beef Sandwich! Valid Particip. Locations,2-4-1!,,,,,10,
Bobby's Burgers by Bobby Flay,sandwiches,2-4-1! Any Burger or Sandwich,2-4-1!,,,3,,10,
Bobby's Burgers by Bobby Flay,sandwiches,"Buy Any Burger and Side, Get a Burger FREE!",FREE!,,,3,,10,
Burgers Supreme,sandwiches,"Buy Any Burger or Sandwich, Get 1 FREE!",FREE!,,,2,,10,
Carl's Jr,sandwiches,$3.99 Kids meal! Valid for All Kids in Family! Code 10717,$3.99 Kids meal!,,,,,10,
Carl's Jr,sandwiches,"Buy a Sausage Egg and Cheese Biscuit, Get 1 FREE! Code 7617",FREE!,,,3,,10,
Carl's Jr,sandwiches,"Buy a Western Bacon Cheeseburger, Get 1 FREE! Code 10726",FREE!,,,3,,10,
CHOM,sandwiches,"Buy Any Entree, Get One FREE! Excludes Burger of the Month",FREE!,,,1,,10,
CHOM,sandwiches,"Buy Any Entree, Get a Reg Side FREE!",FREE!,,,1,,10,
Culver's,sandwiches,2-4-1! Culver's Deluxe! All Northern Utah Locations,2-4-1!,,,3,,10,
Dairy Queen,sandwiches,"2-4-1! 4-Piece Chicken Strip Basket! Orem, Vineyard, EM & Santaquin",2-4-1!,,,2,,10,
Dairy Queen,sandwiches,"Buy a Combo Meal, Get One FREE! Orem, Vineyard, EM & Santaquin",FREE!,,,2,,10,
Dairy Queen,sandwiches,"Buy 1 Sandwich or Burger, Get 1 FREE! Orem, Vineyard, EM & Santaquin",FREE!,,,3,,10,
Domino's,sandwiches,2-4-1! Hot Sandwich! Carryout Only. Saratoga & Eagle Mtn,2-4-1!,,,3,,10,
Firehouse Subs,sandwiches,"2-4-1! Any Sandwich or Any Sandwich & Combo, AF, Provo & Saratoga",2-4-1!,,,3,,10,
Gandolfo's,sandwiches,2-4-1! ANY Sandwich or Hot Dog! All Utah County,2-4-1!,,,3,,10,
Gandolfo's,sandwiches,2-4-1! Breakfast Sandwich! All Utah County,2-4-1!,,,3,,10,
Great Harvest Bread Co.,sandwiches,2-4-1! Breakfast or Lunch Sandwich! Provo,2-4-1!,,,1,,10,
Habit Burger & Grill,sandwiches,2-4-1! Burger or Sandwich! Provo,2-4-1!,,,2,,10,
Habit Burger & Grill,sandwiches,2-4-1! Kids Meal! Provo,2-4-1!,,,2,,10,
Habit Burger & Grill,sandwiches,"Buy Fries and Drink, Get Burger or Sandwich FREE! Provo",FREE!,,,2,,10,
Honey Baked Ham,sandwiches,2-4-1! Combo Meal! All Utah Locations,2-4-1!,,,,,10,
Ike's,sandwiches,2-4-1! Sandwich! Lehi,2-4-1!,,,1,,10,
Jack in the Box,sandwiches,"Buy 1 Combo, Get 1 Combo FREE! All Utah County",FREE!,,,3,,10,
Jamba Juice,sandwiches,"2-4-1! Sandwich or Wrap! Provo (University PKWY), UVU Campus, Draper & WJ",2-4-1!,,,3,,10,
JCW's,sandwiches,2-4-1! Burger or Sandwich! All Locations,2-4-1!,,,3,,10,
Jersey Mike's,sandwiches,"Buy 1 Reg. Sub, Get a Reg. Sub FREE! All Utah County",FREE!,,,1,,10,
Jersey Mike's,sandwiches,"Buy Sub, Get Chips and Reg. Size Drink FREE! All Utah County",FREE!,,,3,,10,
KFC,sandwiches,"Buy One Naked Chicken Sandwich Combo, Get One FREE!All UT",FREE!,,,3,,10,"no space after ""FREE!"" as printed"
KFC,sandwiches,"Buy One Naked Chicken Twister Combo, Get One FREE! All UT",FREE!,,,3,,10,
Klucks Krispy Chicken,sandwiches,"Buy 1 Entree & 2 Drinks, Get 1 Entree FREE! Saratoga",FREE!,,,1,,10,"card prints ""Kluck's Krispy Chicken""; renamed to reference-list name"
Klucks Krispy Chicken,sandwiches,"Buy 1 Entree or Meal, Get 1 50% OFF! Saratoga",50% OFF!,,,3,,10,"card prints ""Kluck's Krispy Chicken""; renamed to reference-list name"
Marco's Pizza,sandwiches,2-4-1! Toasted Sub! Santaquin Only,2-4-1!,,,2,,10,
McDonald's,sandwiches,"2-4-1! Kids Meal! All Orem, N Provo, PG, Cedar Hills & AF",2-4-1!,,,1,,10,
McDonald's,sandwiches,"2-4-1! Sandwich! All Orem, N Provo, PG, Cedar Hills & AF",2-4-1!,,,1,,10,
McDonald's,sandwiches,"Buy Lrg Drink & Fry, Get Sandwich FREE! Orem, N Provo, PG, CH & AF",FREE!,,,1,,10,
Melty,sandwiches,"Buy Any Melt and 2 Drinks, Get a Melt FREE! All UT",FREE!,,,2,,10,
Mooyah,sandwiches,"2-4-1! Any Burger, Sandwich or Hot Dog!",2-4-1!,,,3,,10,
Mooyah,sandwiches,50% OFF! Entire Purchase! Max $15 Discount,50% OFF!,,,2,,10,
Mooyah,sandwiches,"Buy Any Burger, Sandwich or Hot Dog, Get Fries and a Drink FREE!",FREE!,,,2,,10,
Onoh's Malasada Co,sandwiches,2-4-1! Any Sandwich!,2-4-1!,,,1,,10,
Parlor Doughnuts,sandwiches,"Buy 1 Breakfast Sandwich, Get 1 FREE!",FREE!,,,1,,10,
Root's Place Burgers & More,sandwiches,2-4-1! Burger Combo!,2-4-1!,,,3,,10,
Sonic,sandwiches,2-4-1! Sonic Cheeseburger! Valid All Utah Locations,2-4-1!,,,,,10,
Tommy's Burgers,sandwiches,2-4-1! Burger Combo!,2-4-1!,,,1,,10,
Tommy's Burgers,sandwiches,2-4-1! Hot Dog Combo!,2-4-1!,,,1,,10,
Wayback Burgers,sandwiches,"2-4-1! Any Burger, Sandwich or Hot Dog! PG",2-4-1!,,,3,,10,
Wayback Burgers,sandwiches,2-4-1! Any Order of Chicken Tenders! PG,2-4-1!,,,1,,10,
Wendy's,sandwiches,"FREE! Small Frosty w/ Any Purchase! Provo 122 E 1200 N, Orem Center St, N. Orem, AF, Highland, Saratoga, Traverse Mtn & Participating Locations",FREE!,,,,,10,wraps to 2 lines; includes a printed street address (Provo 122 E 1200 N); address column left blank pending your call
Wendy's,sandwiches,"Buy a Dave's Single or Spicy Chicken, Get One FREE! Same Locations",FREE!,,,3,,10,
Zub's Pizza & Sub's,sandwiches,"Buy Any Sub, Get 1 FREE!",FREE!,,,1,,10,
